Atomic_Number Symbol     Name     ColorR ColorG ColorB Atomic_Rad_Ang Covalent_Rad_Ang VanDerWalls_Rad_Ang Atomic_Mass 
      1          H     hydrogen     255    255    255       0.79            0.23               1.2           1.00794   
      2         He      helium      217    255    255       0.49            0.93               1.4           4.002602  
      3         Li      lithium     204    128    255       1.75            0.68               1.82           6.941    
      4         Be     beryllium    194    255     0         1.4            0.35               1.7           9.012182  
      5          B       boron      255    181    181       1.17            0.83               2.08           10.811   
      6          C      carbon      144    144    144       0.91            0.76               1.95          12.0107   
      7          N     nitrogen     48     80     248       0.75            0.76               1.85          14.0067   
      8          O      oxygen      255    13     13        0.65            0.68               1.7           15.9994   
      9          F     fluorine     144    224    80        0.57            0.64               1.73         18.9984032 
      10        Ne       neon       179    227    245       0.51            1.12               1.54          20.1797   
      11        Na      sodium      171    92     242       2.23            0.97               2.27        22.98976928 
      12        Mg     magnesium    138    255     0        1.72             1.1               1.73           24.305   
      13        Al     aluminum     191    166    166       1.82            1.35               2.05         26.9815386 
      14        Si      silicon     240    200    160       1.46             1.2               2.1           28.0855   
      15         P    phosphorus    255    128     0        1.23            1.07               2.08         30.973762  
      16         S      sulfur      255    255    48        1.09            1.05                2             32.065   
      17        Cl     chlorine     31     240    31        0.97            0.99               1.97           35.453   
      18        Ar       argon      128    209    227       0.88            1.57               1.88           39.948   
      19         K     potassium    143    64     212       2.77            1.33               2.75          39.0983   
      20        Ca      calcium     61     255     0        2.23            0.99              1.973           40.078   
      21        Sc     scandium     230    230    230       2.09            1.44               1.7          44.955912  
      22        Ti     titanium     191    194    199         2             1.47               1.7            47.867   
      23         V     vanadium     166    166    171       1.92            1.33               1.7           50.9415   
      24        Cr     chromium     138    153    199       1.85            1.35               1.7           51.9961   
      25        Mn     manganese    156    122    199       1.79            1.35               1.7          54.938045  
      26        Fe       iron       224    102    51        1.72            1.34               1.7            55.845   
      27        Co      cobalt      240    144    160       1.67            1.33               1.7          58.933195  
      28        Ni      nickel      80     208    80        1.62             1.5               1.63          58.6934   
      29        Cu      copper      200    128    51        1.57            1.52               1.4            63.546   
      30        Zn       zinc       125    128    176       1.53            1.45               1.39           65.409   
      31        Ga      gallium     194    143    143       1.81            1.22               1.87           69.723   
      32        Ge     germanium    102    143    143       1.52            1.17               1.7            72.64    
      33        As      arsenic     189    128    227       1.33            1.21               1.85          74.9216   
      34        Se     selenium     255    161     0        1.22            1.22               1.9            78.96    
      35        Br      bromine     166    41     41        1.12            1.21               2.1            79.904   
      36        Kr      krypton     92     184    209       1.03            1.91               2.02           83.798   
      37        Rb     rubidium     112    46     176       2.98            1.47               1.7           85.4678   
      38        Sr     strontium     0     255     0        2.45            1.12               1.7            87.62    
      39         Y      yttrium     148    255    255       2.27            1.78               1.7           88.90585  
      40        Zr     zirconium    148    224    224       2.16            1.56               1.7            91.224   
      41        Nb      niobium     115    194    201       2.08            1.48               1.7           92.90638  
      42        Mo    molybdenum    84     181    181       2.01            1.47               1.7            95.94    
      43        Tc    technetium    59     158    158       1.95            1.35               1.7              98     
      44        Ru     ruthenium    36     143    143       1.89             1.4               1.7            101.07   
      45        Rh      rhodium     10     125    140       1.83            1.45               1.7           102.9055  
      46        Pd     palladium     0     105    133       1.79             1.5               1.63           106.42   
      47        Ag      silver      192    192    192       1.75            1.59               1.72          107.8682  
      48        Cd      cadmium     255    217    143       1.71            1.69               1.58          112.411   
      49        In      indium      166    117    115         2             1.63               1.93          114.818   
      50        Sn        tin       102    128    128       1.72            1.46               2.17           118.71   
      51        Sb     antimony     158    99     181       1.53            1.46               2.2            121.76   
      52        Te     tellurium    212    122     0        1.43            1.47               2.06           127.6    
      53         I      iodine      148     0     148       1.32             1.4               2.15         126.90447  
      54        Xe       xenon      66     158    176       1.24            1.98               2.16          131.293   
      55        Cs      cesium      87     23     143       3.34            1.67               1.7         132.9054519 
      56        Ba      barium       0     201     0        2.78            1.34               1.7           137.327   
      57        La     lanthanum    112    212    255       2.74            1.87               1.7          138.90547  
      58        Ce      cerium      255    255    199        2.7            1.83               1.7           140.116   
      59        Pr   praseodymium   217    255    199       2.67            1.82               1.7          140.90765  
      60        Nd     neodymium    199    255    199       2.64            1.81               1.7           144.242   
      61        Pm    promethium    163    255    199       2.62             1.8               1.7             145     
      62        Sm     samarium     143    255    199       2.59             1.8               1.7            150.36   
      63        Eu     europium     97     255    199       2.56            1.99               1.7           151.964   
      64        Gd    gadolinium    69     255    199       2.54            1.79               1.7            157.25   
      65        Tb      terbium     48     255    199       2.51            1.76               1.7          158.92535  
      66        Dy    dysprosium    31     255    199       2.49            1.75               1.7            162.5    
      67        Ho      holmium      0     255    156       2.47            1.74               1.7          164.93032  
      68        Er      erbium       0     230    117       2.45            1.73               1.7           167.259   
      69        Tm      thulium      0     212    82        2.42            1.72               1.7          168.93421  
      70        Yb     ytterbium     0     191    56         2.4            1.94               1.7            173.04   
      71        Lu     lutetium      0     171    36        2.25            1.72               1.7           174.967   
      72        Hf      hafnium     77     194    255       2.16            1.57               1.7            178.49   
      73        Ta     tantalum     77     166    255       2.09            1.43               1.7          180.94788  
      74         W     tungsten     33     148    214       2.02            1.37               1.7            183.84   
